#,Keyword,Bucket,Intent,Est_MSV_band_claude,Likely_competition,AI_Overview_likely,DataForSEO_MSV,DataForSEO_competition,SERP_top3_live,Content_angle,Target_route,Page_status,Primary_CTA,Internal_links,Schema_additions,Status,Notes
63,do serviced apartments include council tax,B question-intent,informational,50-200,low,Y,,,Council tax UK SA explainer. Staylio's position: included at all properties under <90-night holiday-let exemption + landlord pays for longer stays. Cite gov.uk.,/guides/serviced-apartment-council-tax,NEW,WhatsApp Ali +44 7375 621453,"/faq#bills, /corporate, /apartments-vs-hotels","FAQPage, Article",CANDIDATE · PENDING_DATAFORSEO,,
64,how long can you stay in a serviced apartment,B question-intent,informational,200-600,low,Y,,,"Minimum 3 nights, maximum (Staylio: indefinite via month-to-month renewal). Legal context (when does it become a tenancy). Tax thresholds. Real guest example: 14-month Marylebone stay.",/guides/how-long-can-you-stay-serviced-apartment,NEW,WhatsApp Ali +44 7375 621453,"/faq, /corporate, /apartments-vs-hotels, 2x listings","FAQPage, Article",CANDIDATE · PENDING_DATAFORSEO,,
65,serviced apartment vs flat rental london,B question-intent,informational,100-400,medium,Y,,,"SA vs AST tenancy. Deposit-free, no credit check, no tenancy agreement, flexible exit. Cost premium honestly stated (~30% over comparable AST). When SA wins (relocation, project work, between homes).",/guides/serviced-apartment-vs-flat-rental,NEW,WhatsApp Ali +44 7375 621453,"/corporate, /apartments-vs-hotels, /faq, 2x listings","FAQPage, Article",CANDIDATE · PENDING_DATAFORSEO,,
66,minimum stay serviced apartments london,B question-intent,informational,100-300,low,Y,,,"Staylio = 3 nights minimum, drops to 7 in shoulder season. Industry context: SACO/Native often 7-night min, hotels 1-night. Honest table.",/faq/minimum-stay,EXPAND existing /faq,WhatsApp Ali +44 7375 621453,"/faq, /apartments, /corporate","FAQPage, Article",CANDIDATE · PENDING_DATAFORSEO,,
67,serviced apartment vs aparthotel,B question-intent,informational,100-400,medium,Y,,,"SA = self-contained no front desk vs aparthotel = front desk + breakfast bar + smaller units. Pricing, target stay length, who picks which. Reference Locke/Native as aparthotels, Staylio/SilverDoor as SA.",/guides/serviced-apartment-vs-aparthotel,NEW,WhatsApp Ali +44 7375 621453,"/apartments-vs-hotels, /vs/locke-aparthotel-alternative, /faq","FAQPage, Article",CANDIDATE · PENDING_DATAFORSEO,,
68,what is included in a serviced apartment,B question-intent,informational,300-800,medium,Y,,,"AI Overviews target. The Staylio inclusion list, photographed (linen, kitchen, smart lock, Wi-Fi router, council tax statement). Specific not generic.",/guides/what-is-included-serviced-apartment,NEW,WhatsApp Ali +44 7375 621453,"/faq, /apartments-vs-hotels, 2x listings","FAQPage, Article, ItemList",CANDIDATE · PENDING_DATAFORSEO,HIGH PRIORITY — strong AI bait,
69,how do serviced apartments work,B question-intent,informational,300-1000,medium,Y,,,Process from search → book → check-in → live → check-out. Staylio's actual flow with screenshots. Demystifies for newcomers. Strong SEO + AI bait.,/guides/how-do-serviced-apartments-work,NEW,WhatsApp Ali +44 7375 621453,"/faq, /apartments-vs-hotels, /about, /contact","FAQPage, Article, HowTo",CANDIDATE · PENDING_DATAFORSEO,HIGH PRIORITY — strong AI bait,
70,cheapest serviced apartments central london,B question-intent,commercial,200-800,high,N,,,Be careful — 'cheapest' invites price-shopping that may not be Staylio's positioning (boutique/curated). Frame as 'best-value' not 'cheapest'. Show £125+ entry units.,/guides/best-value-serviced-apartments-london,NEW (renamed — see notes),WhatsApp Ali +44 7375 621453,"/apartments?sort=price-asc, /apartments-vs-hotels, /corporate","FAQPage, Article",CANDIDATE · NEEDS OPERATIONS DECISION,RENAMED from 'cheapest' to 'best-value' per the operator's boutique positioning. Decision needed: is the operator OK targeting this intent at all?,
71,serviced apartments with washing machine london,B question-intent,navigational,30-100,low,Y,,,"Bundle into an inclusion-table page. Every Staylio unit has washer-dryer — easy win, will rank quickly with low competition.",/guides/serviced-apartments-with-washing-machine,NEW (low-effort),WhatsApp Ali +44 7375 621453,"/apartments, /faq#amenities","FAQPage, Article",CANDIDATE · PENDING_DATAFORSEO,EASY WIN — low effort,
72,self catering apartments central london,B question-intent,commercial,200-800,medium,N,,,"'Self-catering' is a holiday-let synonym that ranks separately. Same Staylio inventory, different framing — emphasise fitted kitchen, Borough Market access.",/guides/self-catering-apartments-central-london,NEW,WhatsApp Ali +44 7375 621453,"/apartments, /locations, /apartments-vs-hotels","Article, FAQPage",CANDIDATE · PENDING_DATAFORSEO,,
73,where to stay in london for business trip,B question-intent,informational,200-800,medium,Y,,,Variant of 'best area for business'. Pure informational with soft hand-off to /corporate. Could merge with /guides/best-area-to-stay-london-business.,/guides/where-to-stay-london-business-trip,CONSIDER MERGING with B7,WhatsApp Ali +44 7375 621453,"/corporate, /locations, 3x /locations/[slug]","FAQPage, Article",CANDIDATE · PENDING_DATAFORSEO,,
74,best london area for monthly stay,B question-intent,informational,100-400,low,Y,,,Variant of 'best area for first time' but framed for 30-night-plus. Marylebone wins (longest-stay portfolio). Cross-links to monthly-rental pages (A2).,/guides/best-london-area-monthly-stay,NEW,WhatsApp Ali +44 7375 621453,"/locations, /corporate, 7x /guides/monthly-rental-*","FAQPage, Article, ItemList",CANDIDATE · PENDING_DATAFORSEO,,
75,serviced apartments for relocation london,B question-intent,commercial,100-500,medium,N,,,"Relocation-package angle. Single-contact AM, monthly invoicing, school/area input on first call. Differentiates from Sonder's self-serve flow.",/guides/serviced-apartments-relocation-london,NEW,WhatsApp Ali +44 7375 621453,"/corporate, /locations, 3x /guides/furnished-*","Article, FAQPage, Service",CANDIDATE · PENDING_DATAFORSEO,,
76,sonder alternative london,C vs/alternative,commercial,10-50,low-mid,N,,,"Honest comp: Sonder (tech-first, self-serve, no in-person AM) vs Staylio (boutique, human contact, lower price). Don't bash — describe. Bundle into single /vs/ table page.",/vs/sonder-london,NEW (low MSV but red-hot intent),WhatsApp Ali +44 7375 621453,"/apartments, /corporate, /about, /locations","Article, FAQPage",CANDIDATE · PENDING_DATAFORSEO,,
77,sonder vs serviced apartment london,C vs/alternative,informational,<10,low,N,,,Skip as standalone — fold into the Sonder comp page above.,/vs/sonder-london,FOLD INTO C1,WhatsApp Ali +44 7375 621453,"/apartments, /corporate, /about, /locations","Article, FAQPage",CANDIDATE · PENDING_DATAFORSEO,,
78,silverdoor alternative,C vs/alternative,commercial,10-30,low,N,,,SilverDoor is a B2B broker — different shape. Staylio is direct operator. Honest framing: 'we are what SilverDoor brokers'. Bundle.,/vs/silverdoor-london,NEW,WhatsApp Ali +44 7375 621453,"/apartments, /corporate, /about, /locations","Article, FAQPage",CANDIDATE · PENDING_DATAFORSEO,,
79,native london serviced apartments,C vs/alternative,navigational-commercial,100-300,medium,N,,,"Native is the dominant search-competitor. Don't try to rank for their branded term head-on — write a 'Staylio vs Native: same neighbourhoods, different rate card' angle.",/vs/native-vs-staylio,NEW (careful with branded-term policy),WhatsApp Ali +44 7375 621453,"/apartments, /corporate, /about, /locations","Article, FAQPage",CANDIDATE · NEEDS OPERATIONS DECISION,Branded-term targeting — Operations needs to approve. UK common practice; Sonder/Native both do it.,
80,airbnb monthly stay london,C vs/alternative,commercial,500-1500,high,Y,,,"Top of intent funnel. Airbnb's monthly discount math vs Staylio direct. Tax/regulation context (90-night cap, Section 21 protections). Strong AI Overview bait.",/guides/airbnb-monthly-stay-london,NEW,WhatsApp Ali +44 7375 621453,"/apartments-vs-hotels, /corporate, /apartments","Article, FAQPage, ComparativeContent",CANDIDATE · PENDING_DATAFORSEO,HIGH PRIORITY — strong AI bait + commercial,
81,airbnb vs serviced apartment long stay,C vs/alternative,informational,30-100,low,Y,,,Variant of B5 — could fold into /guides/airbnb-vs-serviced-apartment.,/guides/airbnb-vs-serviced-apartment,FOLD INTO B5,WhatsApp Ali +44 7375 621453,"/apartments-vs-hotels, /corporate, /apartments","Article, FAQPage",CANDIDATE · PENDING_DATAFORSEO,,
82,cheaper than sonder london,C vs/alternative,commercial,<10,low,N,,,Very low MSV but ultra-hot. Fold into /vs/sonder-london as a section.,/vs/sonder-london,FOLD INTO C1,WhatsApp Ali +44 7375 621453,"/apartments, /corporate, /about, /locations","Article, FAQPage",CANDIDATE · PENDING_DATAFORSEO,,
83,locke aparthotel alternative,C vs/alternative,commercial,<30,low,N,,,Locke is aparthotel category (smaller units + bar). Different positioning. Fold into a Locke comp section in a bundled /vs/ page.,/vs/london-serviced-apartments,FOLD INTO C13,WhatsApp Ali +44 7375 621453,"/apartments, /corporate, /about, /locations","Article, FAQPage",CANDIDATE · PENDING_DATAFORSEO,,
84,native places alternative,C vs/alternative,commercial,<30,low,N,,,Same as C8.,/vs/london-serviced-apartments,FOLD INTO C13,WhatsApp Ali +44 7375 621453,"/apartments, /corporate, /about, /locations","Article, FAQPage",CANDIDATE · PENDING_DATAFORSEO,,
85,cheval residences alternative,C vs/alternative,commercial,<30,low,N,,,Cheval is luxury (£500+). ICP mismatch — Staylio is mid-market. Mention but don't pursue as primary.,/vs/london-serviced-apartments,FOLD INTO C13 (with disclaimer),WhatsApp Ali +44 7375 621453,"/apartments, /corporate, /about, /locations","Article, FAQPage",CANDIDATE · PENDING_DATAFORSEO,,
86,saco apartments alternative,C vs/alternative,commercial,10-50,low,N,,,SACO/Edyn is corporate-broker scale. Fold.,/vs/london-serviced-apartments,FOLD INTO C13,WhatsApp Ali +44 7375 621453,"/apartments, /corporate, /about, /locations","Article, FAQPage",CANDIDATE · PENDING_DATAFORSEO,,
87,edyn group alternative,C vs/alternative,commercial,<10,low,N,,,Same as C11.,/vs/london-serviced-apartments,FOLD INTO C13,WhatsApp Ali +44 7375 621453,"/apartments, /corporate, /about, /locations","Article, FAQPage",CANDIDATE · PENDING_DATAFORSEO,,
88,best serviced apartment operator london,C vs/alternative,commercial,50-200,medium,Y,,,"Listicle-format target. Honest ranking: who wins on price (Staylio), volume (SACO), luxury (Cheval), tech (Sonder), aparthotel (Locke). Cite ourselves last in the ranking — gives credibility.",/guides/best-serviced-apartment-operators-london,NEW (could host the bundled vs/ table),WhatsApp Ali +44 7375 621453,"/apartments, /corporate, /about, /vs/* nested","Article, FAQPage, ItemList",CANDIDATE · PENDING_DATAFORSEO,,
89,independent serviced apartment london,C vs/alternative,commercial,30-100,low,N,,,Strong Staylio fit. 'Independent' = not part of SACO/Edyn/Cheval roll-up. Founder-led. Honest about size (43 units = small not tiny).,/guides/independent-serviced-apartments-london,NEW,WhatsApp Ali +44 7375 621453,"/about, /apartments, /corporate","Article, FAQPage",CANDIDATE · PENDING_DATAFORSEO,STRONG BRAND FIT,
90,boutique serviced apartments london,C vs/alternative,commercial,100-500,medium,N,,,"ON-BRAND target. Staylio's brand voice is locked 'boutique, curated, warm'. Map to actual portfolio: Marylebone townhouses, Maida Vale mansion blocks. Hero page.",/guides/boutique-serviced-apartments-london,NEW (priority — strongest brand fit),WhatsApp Ali +44 7375 621453,"/about, /apartments, /locations, 7x /locations/[slug]","Article, FAQPage, ItemList",CANDIDATE · PENDING_DATAFORSEO,HIGH PRIORITY — strongest brand fit,
